Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
N1,14/09/2025,13:30,Heracles,AZ Alkmaar,1,2,A,1,1,D,19,25,6,8,11,11,6,9,1,5,0,0,6,4.5,1.5,5.75,4.4,1.53,5.9,4.59,1.5,5.74,4.36,1.51,5,4.33,1.6,5.59,4.56,1.56,5.09,4.35
N1,14/09/2025,13:30,Utrecht,Groningen,0,1,A,0,0,D,14,13,3,6,9,16,3,4,0,4,0,0,1.75,4,4.33,1.78,4,4,1.78,3.88,4.26,1.75,3.8,4.16,1.7,3.7,5.25,1.75,3.82,4.97,1.7,3.69,4.78
N1,14/09/2025,15:45,Telstar,For Sittard,1,3,A,1,1,D,18,9,7,6,14,17,10,1,1,0,0,0,2.35,3.6,2.88,2.3,3.6,2.85,2.49,3.33,2.88,2.34,3.51,2.81,2.05,3.6,3.5,2.48,3.31,2.3,2.47,3.34,2.12
N1,17/09/2025,19:00,Feyenoord,For Sittard,2,0,H,1,0,H,19,5,5,0,11,9,13,0,0,1,0,0,1.29,5.5,10,1.29,6,9.25,1.31,5.18,10.05,1.28,5.7,9.23,1.27,5.5,10,1.29,5.47,11.47,1.26,5.95,10.1
N1,19/09/2025,19:00,Sparta Rotterdam,Twente,1,5,A,1,1,D,7,23,2,11,7,6,1,6,0,1,0,0,2.8,3.4,2.45,2.9,3.5,2.3,2.93,3.59,2.42,2.85,3.48,2.33,2.75,3.6,2.4,2.9,3.56,2.46,2.77,3.53,2.38
N1,20/09/2025,15:30,Volendam,Excelsior,1,2,A,1,1,D,14,15,7,6,11,19,5,3,3,2,0,0,2.3,3.8,2.8,2.3,3.75,2.8,2.32,3.78,2.83,2.3,3.68,2.78,2.2,3.6,3.1,2.3,3.85,2.95,2.21,3.69,2.95
N1,20/09/2025,17:45,Groningen,Telstar,2,0,H,1,0,H,16,7,6,3,9,10,7,2,1,2,0,0,1.8,3.6,4.5,1.8,3.6,4.5,1.8,3.66,4.43,1.78,3.67,4.37,1.53,4.2,6.25,1.63,4.1,5.53,1.54,4.11,5.86
N1,20/09/2025,19:00,For Sittard,Utrecht,1,0,H,1,0,H,8,14,3,5,12,7,1,11,4,2,0,0,3.8,3.6,1.95,3.5,3.75,1.98,3.69,3.72,1.95,3.64,3.64,1.94,3.2,3.4,2.25,3.27,3.53,2.25,3.24,3.46
N1,20/09/2025,20:00,NAC Breda,Heracles,2,1,H,0,1,A,17,14,4,5,9,16,10,4,1,2,0,0,2,3.6,3.6,2.05,3.5,3.5,2.01,3.6,3.63,2.01,3.52,3.48,2.04,1.8,3.8,4.2,1.91,3.75,3.9,1.86,3.64,3.92
N1,21/09/2025,11:15,Zwolle,Go Ahead Eagles,0,2,A,0,0,D,8,20,1,9,5,8,3,7,1,2,1,0,2.5,3.5,2.75,2.5,3.6,2.65,2.43,3.73,2.71,2.42,3.61,2.66,2.63,3.4,2.63,2.59,3.58,2.72,2.52,3.5,2.63
N1,21/09/2025,13:30,Heerenveen,Nijmegen,3,2,H,1,0,H,14,11,8,6,10,14,6,6,1,1,0,1,2.55,3.6,2.63,2.55,3.7,2.55,2.47,3.95,2.55,2.49,3.69,2.54,2.45,3.5,2.8,2.47,3.79,2.74,2.39,3.7,2.67
N1,21/09/2025,13:30,PSV Eindhoven,Ajax,2,2,D,1,1,D,16,14,8,6,17,13,9,5,2,5,0,0,1.73,4,4.5,1.73,4.1,4.33,1.73,3.98,4.44,1.71,4.08,4.24,1.57,4.5,4.75,1.65,4.34,4.96,1.59,4.42,4.8
N1,21/09/2025,15:45,AZ Alkmaar,Feyenoord,3,3,D,1,1,D,9,19,5,3,9,10,4,11,4,5,0,1,2.3,3.5,3,2.3,3.7,2.8,2.39,3.52,2.88,2.33,3.52,2.82,2.45,3.7,2.63,2.47,3.76,2.76,2.43,3.66,2.64
N1,24/09/2025,19:00,AZ Alkmaar,Zwolle,2,2,D,2,1,H,28,8,9,4,12,10,9,1,1,2,0,0,1.36,5.25,7.5,1.35,5.5,7.75,1.34,5.48,7.83,1.33,5.35,8.04,1.3,5.5,8.5,1.35,5.81,8.12,1.3,5.62,8.5
