Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
B1,28/09/2025,18:15,Dender,RAAL La Louviere,0,0,D,0,0,D,10,10,2,2,8,7,4,2,1,3,0,0,2.38,3.25,2.8,2.38,3.25,3,2.55,3.13,2.96,2.4,3.23,2.89,2.65,3.05,2.75,2.77,3.12,2.85,2.54,3.07,2.84
B1,03/10/2025,19:45,Gent,Charleroi,2,1,H,1,1,D,9,9,3,7,5,9,4,2,2,4,0,0,2.05,3.7,3.4,2.04,3.65,3.4,2.11,3.56,3.59,2.04,3.58,3.35,2,3.55,3.55,2.11,3.52,3.62,2.08,3.49,3.31
B1,04/10/2025,15:00,Mechelen,St Truiden,1,3,A,1,0,H,10,19,3,9,18,14,5,9,3,1,0,0,2.1,3.6,3,2.06,3.75,3.2,2.22,3.49,3.2,2.12,3.58,3.1,2.16,3.55,3.15,2.43,3.51,2.97,2.14,3.47,3.14
B1,04/10/2025,17:15,RAAL La Louviere,Waregem,0,0,D,0,0,D,11,6,4,4,12,8,12,1,2,3,0,0,2.3,3.6,2.8,2.38,3.45,2.88,2.34,3.44,3.02,2.35,3.35,2.88,2.35,3.4,2.9,2.35,3.36,3.22,2.35,3.31,2.93
B1,04/10/2025,19:45,Antwerp,Cercle Brugge,1,1,D,1,1,D,18,12,10,2,14,12,8,3,1,1,0,0,2.4,3.4,2.8,2.3,3.6,2.8,2.4,3.46,2.91,2.35,3.48,2.77,2.65,3.35,2.6,2.87,3.34,2.6,2.73,3.33,2.49
B1,05/10/2025,12:30,Anderlecht,Standard,1,0,H,0,0,D,16,9,6,1,18,12,6,4,3,3,0,1,1.6,3.9,5.25,1.57,4.2,5.4,1.61,3.99,5.42,1.57,4.02,5.42,1.58,4.1,5.2,1.6,4.29,5.63,1.6,4.01,5.13
B1,05/10/2025,15:00,Genk,Dender,2,1,H,1,1,D,25,10,8,9,11,15,8,3,2,5,0,2,1.36,4.75,7,1.35,5.2,7.5,1.41,4.8,7.19,1.35,4.95,7.68,1.43,4.75,6.4,1.36,5.04,7.28,1.4,4.79,6.78
B1,05/10/2025,17:30,Club Brugge,St. Gilloise,1,0,H,0,0,D,10,7,2,1,7,17,7,3,2,3,0,0,2.2,3.5,3,2.23,3.65,2.9,2.28,3.7,2.93,2.23,3.56,2.89,2.2,3.5,3.1,2.31,3.53,3.16,2.19,3.56,3
B1,05/10/2025,18:15,Westerlo,Oud-Heverlee Leuven,2,0,H,1,0,H,17,8,5,4,13,27,6,6,2,2,0,0,1.85,3.75,3.75,1.83,4,3.7,1.85,3.81,4,1.84,3.78,3.74,2.17,3.55,3.05,1.93,3.8,3.94,2.18,3.53,3.06
B1,18/10/2025,15:00,RAAL La Louviere,Westerlo,0,0,D,0,0,D,8,7,1,0,11,15,2,2,0,1,0,0,2.55,3.4,2.63,2.55,3.6,2.5,2.58,3.45,2.69,2.55,3.44,2.56,2.6,3.35,2.63,2.62,3.48,2.75,2.57,3.37,2.61
B1,18/10/2025,17:15,Oud-Heverlee Leuven,Club Brugge,0,1,A,0,0,D,17,11,5,4,16,12,4,11,2,1,0,0,5.25,4.1,1.6,5.6,4.3,1.53,5.11,4.21,1.61,5.17,4.16,1.56,4.8,4,1.64,4.82,4.07,1.71,4.52,3.9,1.69
