Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
P1,27/09/2025,15:30,Moreirense,Casa Pia,2,1,H,1,1,D,12,20,4,4,13,15,6,8,5,4,0,0,2.05,3.3,3.6,2.1,3.1,3.6,2.12,3.11,3.89,2.09,3.09,3.61,2.01,3.2,3.7,2.23,3.17,3.72,2.07,3.14,3.62
P1,27/09/2025,16:30,Santa Clara,Tondela,1,2,A,0,0,D,11,12,5,4,13,25,3,4,2,7,0,0,1.66,3.4,5.5,1.75,3.4,5,1.7,3.51,5.53,1.7,3.39,5.18,1.86,3.25,4.5,1.83,3.32,5.32,1.79,3.3,4.62
P1,27/09/2025,18:00,Estrela,AVS,3,0,H,3,0,H,11,11,6,2,11,20,6,6,3,2,1,1,2.05,3.1,3.8,2.05,3.2,3.75,2.06,3.18,3.98,2.04,3.15,3.73,2.15,3.2,3.4,2.21,3.2,3.73,2.15,3.15,3.4
P1,27/09/2025,20:30,Estoril,Sp Lisbon,0,1,A,0,1,A,7,9,2,2,13,12,3,9,4,2,0,0,9.5,5.5,1.25,8.75,5.25,1.31,8.28,5.7,1.31,8.65,5.18,1.3,11,6.25,1.19,11.26,6.66,1.24,10.43,6.16
P1,28/09/2025,15:30,Alverca,Guimaraes,2,0,H,1,0,H,11,19,4,3,15,17,1,5,3,0,1,0,3.2,3.4,2.15,3.25,3.3,2.15,3.25,3.31,2.27,3.15,3.26,2.2,2.57,3,2.85,2.88,3.02,2.82,2.68,2.97,2.73
P1,28/09/2025,18:00,Sp Braga,Nacional,0,1,A,0,1,A,9,13,1,5,4,7,6,3,0,2,0,0,1.39,4.33,7.5,1.43,4.5,7,1.41,4.65,7.6,1.42,4.36,6.93,1.39,4.5,7.5,1.39,4.87,8.97,1.39,4.52,7.38
P1,29/09/2025,20:00,Arouca,Porto,0,4,A,0,1,A,13,16,3,5,13,8,5,8,5,3,0,1,7.5,4.75,1.35,7.25,4.6,1.4,8.39,4.94,1.36,7.75,4.61,1.37,9,5.75,1.17,10.52,6.16,1.28,10.83,5.81
P1,03/10/2025,20:15,Casa Pia,Estoril,2,2,D,2,1,H,11,10,5,3,14,12,6,7,3,3,0,0,2.5,3.3,2.65,2.45,3.2,2.8,2.55,3.41,2.88,2.44,3.22,2.79,2.75,3.2,2.5,2.58,3.33,2.9,2.63,3.15,2.64
P1,04/10/2025,15:30,Gil Vicente,Estrela,2,0,H,2,0,H,15,15,7,5,12,15,5,7,2,3,1,0,1.61,3.75,5.25,1.65,3.5,5.75,1.64,3.78,5.52,1.65,3.54,5.38,1.62,3.75,5,1.68,3.7,5.84,1.67,3.51,5.23
P1,04/10/2025,15:30,Nacional,Moreirense,3,2,H,1,1,D,17,10,7,4,12,16,2,4,1,3,0,1,2.32,3.1,3.1,2.35,3.2,3,2.42,3.09,3.21,2.34,3.13,3.05,2.2,3.1,3.4,2.19,3.19,3.62,2.19,3.12,3.35
