Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
D1,04/10/2025,14:30,Werder Bremen,St Pauli,1,0,H,1,0,H,15,13,5,3,8,9,4,1,3,1,0,0,2.35,3.7,2.88,2.3,3.5,2.9,2.43,3.67,2.87,2.32,3.51,2.86,2.3,3.4,3,2.37,3.61,3.04,2.31,3.51,2.9
D1,04/10/2025,17:30,Ein Frankfurt,Bayern Munich,0,3,A,0,2,A,6,12,1,3,11,11,4,3,1,2,0,0,6.25,5.25,1.42,5.75,5.25,1.46,6.14,5.53,1.44,5.9,5.19,1.42,7.5,5.75,1.33,7.49,5.65,1.38,6.7,5.66,1.36
D1,05/10/2025,14:30,Stuttgart,Heidenheim,1,0,H,0,0,D,18,5,6,1,11,12,1,1,1,1,0,0,1.42,4.75,7,1.46,4.8,6.25,1.44,5.16,6.75,1.42,4.81,6.48,1.38,5,7.5,1.41,5.33,7.49,1.39,5.06,6.99
D1,05/10/2025,16:30,Hamburg,Mainz,4,0,H,2,0,H,15,11,9,4,14,13,1,4,2,3,0,0,2.8,3.5,2.4,2.75,3.6,2.4,2.89,3.53,2.48,2.76,3.54,2.36,3.1,3.75,2.15,3.21,3.77,2.21,3.08,3.67,2.14
D1,05/10/2025,18:30,M'gladbach,Freiburg,0,0,D,0,0,D,9,12,5,1,15,7,4,1,3,1,0,0,2.25,3.6,3,2.2,3.6,3.1,2.36,3.57,3.04,2.27,3.53,2.92,2.7,3.25,2.63,2.66,3.4,2.8,2.59,3.36,2.66
D1,17/10/2025,19:30,Union Berlin,M'gladbach,3,1,H,2,1,H,16,8,5,2,21,15,6,6,5,3,0,0,2.2,3.4,3.2,2.2,3.4,3.25,2.24,3.5,3.31,2.17,3.44,3.24,2.25,3.25,3.2,2.3,3.46,3.39,2.17,3.44,3.18
D1,18/10/2025,14:30,FC Koln,Augsburg,1,1,D,0,0,D,9,10,2,4,10,17,5,2,2,2,0,0,1.95,3.9,3.5,1.98,3.7,3.5,2,3.96,3.56,1.98,3.79,3.39,2,3.8,3.4,2.05,3.9,3.98,1.98,3.78,3.43
D1,18/10/2025,14:30,Heidenheim,Werder Bremen,2,2,D,0,0,D,31,11,11,4,9,11,12,2,1,3,0,0,2.88,3.5,2.35,2.85,3.6,2.35,2.97,3.61,2.39,2.84,3.53,2.32,2.63,3.4,2.55,3.08,3.6,2.35,2.67,3.46,2.51
D1,18/10/2025,14:30,Mainz,Leverkusen,3,4,A,1,3,A,12,20,4,8,20,12,2,3,4,4,0,0,2.8,3.4,2.45,2.85,3.4,2.4,2.83,3.46,2.56,2.78,3.4,2.39,2.45,3.4,2.8,2.69,3.59,2.65,2.49,3.45,2.66
D1,18/10/2025,14:30,RB Leipzig,Hamburg,2,1,H,1,0,H,10,15,4,3,13,12,3,5,3,1,0,0,1.44,4.75,6.5,1.42,5.25,6.25,1.43,5.37,6.59,1.4,5.07,6.34,1.45,5,6,1.47,5.28,6.25,1.45,4.96,5.85
D1,18/10/2025,14:30,Wolfsburg,Stuttgart,0,3,A,0,1,A,11,15,3,7,12,8,3,8,1,1,0,0,2.63,3.6,2.5,2.55,3.7,2.5,2.72,3.62,2.57,2.6,3.59,2.49,2.8,3.5,2.38,2.89,3.75,2.41,2.83,3.52,2.35
D1,18/10/2025,17:30,Bayern Munich,Dortmund,2,1,H,1,0,H,15,8,7,1,12,17,4,3,1,3,0,0,1.33,5.5,7.5,1.36,5.5,7.25,1.38,5.55,7.5,1.34,5.52,7.34,1.38,5.5,7.25,1.36,5.75,8.25,1.35,5.52,7.41
D1,19/10/2025,14:30,Freiburg,Ein Frankfurt,2,2,D,1,2,A,12,8,5,3,6,15,3,1,2,3,0,0,2.5,3.5,2.7,2.55,3.6,2.55,2.54,3.68,2.72,2.48,3.57,2.6,2.35,3.6,2.88,2.56,3.64,2.76,2.46,3.54,2.69
D1,19/10/2025,16:30,St Pauli,Hoffenheim,0,3,A,0,0,D,10,14,2,5,10,17,9,7,1,3,0,0,2.5,3.4,2.8,2.45,3.4,2.8,2.51,3.64,2.78,2.41,3.45,2.78,2.63,3.5,2.55,2.57,3.49,2.84,2.65,3.4,2.57
D1,24/10/2025,19:30,Werder Bremen,Union Berlin,1,0,H,0,0,D,16,12,3,2,6,13,5,6,4,0,0,0,2.25,3.6,2.9,2.25,3.5,3,2.33,3.63,3.09,2.24,3.52,3.03,2.3,3.4,3,2.36,3.59,3.08,2.29,3.46,2.99
D1,25/10/2025,14:30,Augsburg,RB Leipzig,0,6,A,0,4,A,15,15,2,8,9,10,2,3,3,1,0,0,3.2,3.9,2.05,3.3,4,1.98,3.29,4.06,2.07,3.25,3.91,1.99,3.2,3.8,2.05,3.41,3.81,2.12,3.23,3.8,2.04
D1,25/10/2025,14:30,Ein Frankfurt,St Pauli,2,0,H,1,0,H,10,9,6,1,11,6,1,3,0,1,0,0,1.67,4.2,4.5,1.71,4.1,4.4,1.74,4.19,4.49,1.68,4.06,4.43,1.62,4.5,4.5,1.67,4.43,4.92,1.64,4.26,4.59
