Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
F1,25/10/2025,20:05,Lens,Marseille,2,1,H,1,1,D,8,17,5,3,12,9,4,8,3,2,0,0,2.7,3.6,2.45,2.8,3.6,2.37,2.82,3.61,2.49,2.76,3.53,2.4,2.5,3.6,2.7,2.6,3.49,2.81,2.52,3.47,2.67
F1,26/10/2025,14:00,Lille,Metz,6,1,H,2,0,H,23,10,12,4,18,12,7,8,3,2,0,0,1.3,5.5,9.5,1.32,5.5,9.25,1.33,5.55,9.34,1.31,5.35,9.04,1.22,6.5,11,1.23,6.74,12.77,1.23,6.36,11.36
F1,26/10/2025,16:15,Angers,Lorient,2,0,H,1,0,H,7,23,4,4,14,6,1,6,1,0,0,0,2.55,3.2,2.88,2.55,3.2,2.8,2.63,3.19,2.94,2.6,3.15,2.78,2.75,3,2.8,2.76,3.04,2.98,2.71,3.03,2.76
F1,26/10/2025,16:15,Auxerre,Le Havre,0,1,A,0,0,D,14,9,3,4,21,12,13,5,2,2,0,0,2.1,3.4,3.5,2.15,3.4,3.3,2.16,3.45,3.56,2.11,3.36,3.41,2.1,3.3,3.6,2.2,3.39,3.74,2.08,3.31,3.59
F1,26/10/2025,16:15,Rennes,Nice,1,2,A,0,2,A,19,8,7,3,13,22,7,3,5,2,0,0,2.2,3.5,3.2,2.2,3.6,3,2.2,3.64,3.28,2.17,3.55,3.11,2,3.7,3.6,2.11,3.61,3.6,2.06,3.61,3.4
F1,26/10/2025,19:45,Lyon,Strasbourg,2,1,H,1,1,D,8,7,3,2,15,19,4,2,0,4,0,1,2.1,3.75,3.3,2.05,3.6,3.3,2.11,3.75,3.41,2.06,3.63,3.3,1.91,3.7,3.8,1.95,3.78,3.95,1.92,3.67,3.75
F1,29/10/2025,18:00,Le Havre,Brest,1,0,H,0,0,D,13,8,3,2,12,11,5,1,1,3,0,0,2.55,3.2,2.9,2.5,3.3,2.8,2.56,3.38,2.89,2.51,3.29,2.76,2.9,3,2.63,2.98,3.13,2.69,2.84,3.07,2.6
F1,29/10/2025,18:00,Lorient,Paris SG,1,1,D,0,0,D,5,15,2,8,5,13,0,8,0,2,0,0,9.5,6.5,1.25,10.5,6.25,1.26,10.79,6.39,1.26,10.17,6.12,1.25,10,6,1.25,9.63,6.45,1.28,9.98,6.09
F1,29/10/2025,18:00,Metz,Lens,2,0,H,0,0,D,16,10,7,2,15,15,2,5,3,2,1,0,6.25,4.5,1.5,6,4.5,1.5,6.36,4.56,1.51,6.06,4.4,1.49,5.5,4.75,1.48,6.46,4.75,1.49,6.29,4.64
F1,29/10/2025,18:00,Nice,Lille,2,0,H,1,0,H,8,21,4,4,11,10,2,13,3,3,0,0,3,3.5,2.3,2.95,3.5,2.3,3.07,3.52,2.36,2.91,3.46,2.32,3.9,3.9,1.85,4.02,4.06,1.87,3.81,3.77
